Tampilkan,Tab,Judul,Institusi,Periode,Urutan
TRUE,Education,Statistics & Data Science,IPB University,Aug 2021 - Aug 2025,1
TRUE,Education,Natural Science,SMAN 1 Cibadak,Jan 2018 - Apr 2021,2
TRUE,Education,Middle School,SMPIT Al-Ummah,Aug 2015 - Aug 2018,3
TRUE,Education,Elementary School,SDN 2 Cibadak,Jan 2009 - Apr 2015,4
TRUE,Experience,Data Analyst,PT.ASDP Indonesia Ferry (Persero),Sep 2024 - Des 2024,1
TRUE,Experience,Surveyor IPM Bandung,IPB University,Aug 2024,2
TRUE,Experience,Media and Branding,KKN-T IPB 2024 | Sukawening Village,Jun 2024 - Aug 2024,3
TRUE,Experience,Machine Learning Cohort,Bangkit Academy,Feb 2024 - Jul 2024,4
TRUE,Experience,Secretary,Chess Unity of Agriculture IPB,Feb 2023 - Feb 2024,5
TRUE,Experience,Graphic Designer and Data Analyst,Big Data Agrotourism PKM-RSH IPB University,Jan 2023 - Feb 2024,6
TRUE,Experience,Staff of Documentation Decoration Design division,PORSTAT IPB 2022,Nov 2022 - Feb 2023,7
TRUE,Experience,Media Branding Department,Gamma Sigma Beta IPB,Sep 2022 - Dec 2022,8
TRUE,Experience,Staff of Branding Decor Design Division,SPIRIT FMIPA IPB,Mar 2022 - Sep 2022,9
