Tampilkan,Judul,Kategori,Folder,Urutan,Link
TRUE,Data Analyst - ASDP Indonesia Ferry,statistics,data-analyst-asdp,1,
TRUE,Surveyor - IPM Bandung,statistics,surveyor-ipm-bandung,1,
TRUE,Works of KKNT IPB,statistics,works-kknt-ipb,2,
TRUE,Tancap App - Bangkit Academy,machine learning,tancap-app-bangkit-academy,3,
TRUE,Works of PKM RSH,statistics,works-pkm-rsh,4,
TRUE,Porstat 2022 Instagram Feeds,design,porstat-2022-instagram-feeds,5,
TRUE,Spirit FMIPA 2022 Instagram Feeds,design,spirit-fmipa-2022-instagram-feeds,6,
TRUE,Bayesian Neural Network,machine learning,bayesian-neural-network,7,
TRUE,"Clustering: K-Means, FCM, and GMM",statistics,clustering-kmeans-fcm-gmm,8,
TRUE,Data Challenge Final Project,statistics,data-challenge-final-project,9,
TRUE,ARCH-GARCH Forecasting,statistics,arch-garch-forecasting,10,
TRUE,Spatial Regression Final Project,statistics,spatial-regression-final-project,11,
TRUE,Clusering: Gaussian Mixture Model,statistics,clustering-gaussian-mixture-model,12,
TRUE,Gatot Kaca Design Poster,design,gatot-kaca-design-poster,13,
TRUE,IPB Statistics Jersey,design,ipb-statistics-jersey,14,
TRUE,IPB Statistics T-shirt,design,ipb-statistics-tshirt,15,
